Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2024-05-18,2023,Ekstraklasa,Korona Kielce,Ruch Chorzów,2 - 0,1 - 0,1,2,Yok
2024-05-18,2023,Ekstraklasa,Slask Wroclaw,Radomiak Radom,2 - 0,1 - 0,1,2,Yok
2024-05-18,2023,Ekstraklasa,Piast Gliwice,Jagiellonia,1 - 1,0 - 0,X,2,Evet
2024-05-19,2023,Ekstraklasa,Cracovia Krakow,Raków Częstochowa,2 - 0,1 - 0,1,2,Yok
2024-05-19,2023,Ekstraklasa,Warta Poznań,Legia Warszawa,0 - 1,0 - 1,2,1,Yok
2024-05-19,2023,Ekstraklasa,Widzew Łódź,Lech Poznan,1 - 1,1 - 1,X,2,Evet
2024-05-20,2023,Ekstraklasa,Zaglebie Lubin,ŁKS Łódź,2 - 1,1 - 0,1,3,Evet
2024-05-25,2023,Ekstraklasa,Jagiellonia,Warta Poznań,3 - 0,3 - 0,1,3,Yok
2024-05-25,2023,Ekstraklasa,Legia Warszawa,Zaglebie Lubin,2 - 1,2 - 0,1,3,Evet
2024-05-25,2023,Ekstraklasa,Lech Poznan,Korona Kielce,1 - 2,1 - 0,2,3,Evet
2024-05-25,2023,Ekstraklasa,Pogon Szczecin,Gornik Zabrze,1 - 0,0 - 0,1,1,Yok
2024-05-25,2023,Ekstraklasa,Puszcza Niepołomice,Piast Gliwice,1 - 0,0 - 0,1,1,Yok
2024-05-25,2023,Ekstraklasa,Raków Częstochowa,Slask Wroclaw,1 - 2,1 - 0,2,3,Evet
2024-05-25,2023,Ekstraklasa,ŁKS Łódź,Stal Mielec,3 - 2,3 - 0,1,5,Evet
2024-05-25,2023,Ekstraklasa,Radomiak Radom,Widzew Łódź,1 - 3,1 - 0,2,4,Evet
2024-05-25,2023,Ekstraklasa,Ruch Chorzów,Cracovia Krakow,2 - 0,1 - 0,1,2,Yok
2022-07-15,2022,Ekstraklasa,Raków Częstochowa,Warta Poznań,1 - 0,0 - 0,1,1,Yok
2022-07-15,2022,Ekstraklasa,Zaglebie Lubin,Slask Wroclaw,0 - 0,0 - 0,X,0,Yok
2022-07-16,2022,Ekstraklasa,Lech Poznan,Stal Mielec,0 - 2,0 - 1,2,2,Yok
2022-07-16,2022,Ekstraklasa,Jagiellonia,Piast Gliwice,2 - 0,1 - 0,1,2,Yok
2022-07-16,2022,Ekstraklasa,Korona Kielce,Legia Warszawa,1 - 1,0 - 0,X,2,Evet
2022-07-17,2022,Ekstraklasa,Radomiak Radom,Miedz Legnica,1 - 1,0 - 0,X,2,Evet
2022-07-17,2022,Ekstraklasa,Wisla Plock,Lechia Gdansk,3 - 0,1 - 0,1,3,Yok
